,precipitacao_x,precipitacao_acc_x,temperatura_x,temperatura_aparente_x,umidade_relativa_x,pressao_x,precipitacao_y,precipitacao_acc_y,temperatura_y,temperatura_aparente_y,umidade_relativa_y,pressao_y,precipitacao,precipitacao_acc,temperatura,temperatura_aparente,umidade_relativa,pressao
0,1660953600000,1660953600000,1660953600000,1660953600000,1660953600000,1660953600000,2022-08-20 00:00:00,2022-08-20 00:00:00,2022-08-20 00:00:00,2022-08-20 00:00:00,2022-08-20 00:00:00,2022-08-20 00:00:00,0.0,0.0,8.664140625000016,5.178561631759663,84,1031.4173125000002
1,1660957200000,1660957200000,1660957200000,1660957200000,1660957200000,1660957200000,2022-08-20 01:00:00,2022-08-20 01:00:00,2022-08-20 01:00:00,2022-08-20 01:00:00,2022-08-20 01:00:00,2022-08-20 01:00:00,0.0,0.0,9.259062500000027,5.148512961142075,79,1031.01775
2,1660960800000,1660960800000,1660960800000,1660960800000,1660960800000,1660960800000,2022-08-20 02:00:00,2022-08-20 02:00:00,2022-08-20 02:00:00,2022-08-20 02:00:00,2022-08-20 02:00:00,2022-08-20 02:00:00,0.0016,0.0016,9.471875000000011,5.587749864737049,77,1031.15
3,1660964400000,1660964400000,1660964400000,1660964400000,1660964400000,1660964400000,2022-08-20 03:00:00,2022-08-20 03:00:00,2022-08-20 03:00:00,2022-08-20 03:00:00,2022-08-20 03:00:00,2022-08-20 03:00:00,0.00039999999999999996,0.002,9.737207031250023,5.868891181580324,74,1030.7784
4,1660968000000,1660968000000,1660968000000,1660968000000,1660968000000,1660968000000,2022-08-20 04:00:00,2022-08-20 04:00:00,2022-08-20 04:00:00,2022-08-20 04:00:00,2022-08-20 04:00:00,2022-08-20 04:00:00,0.008,0.01,10.003359375000002,5.725375190365298,72,1030.3094
5,1660971600000,1660971600000,1660971600000,1660971600000,1660971600000,1660971600000,2022-08-20 05:00:00,2022-08-20 05:00:00,2022-08-20 05:00:00,2022-08-20 05:00:00,2022-08-20 05:00:00,2022-08-20 05:00:00,0.026000000000000002,0.036000000000000004,9.831562500000018,5.492767441282012,76,1029.3509
6,1660975200000,1660975200000,1660975200000,1660975200000,1660975200000,1660975200000,2022-08-20 06:00:00,2022-08-20 06:00:00,2022-08-20 06:00:00,2022-08-20 06:00:00,2022-08-20 06:00:00,2022-08-20 06:00:00,0.036000000000000004,0.07200000000000001,9.830937500000005,5.536603853035473,80,1029.5273
7,1660978800000,1660978800000,1660978800000,1660978800000,1660978800000,1660978800000,2022-08-20 07:00:00,2022-08-20 07:00:00,2022-08-20 07:00:00,2022-08-20 07:00:00,2022-08-20 07:00:00,2022-08-20 07:00:00,0.07999999999999999,0.152,9.757910156250034,5.557128240343843,84,1028.7236
8,1660982400000,1660982400000,1660982400000,1660982400000,1660982400000,1660982400000,2022-08-20 08:00:00,2022-08-20 08:00:00,2022-08-20 08:00:00,2022-08-20 08:00:00,2022-08-20 08:00:00,2022-08-20 08:00:00,0.22,0.372,9.618671875000018,5.336185643679983,88,1029.5778
9,1660986000000,1660986000000,1660986000000,1660986000000,1660986000000,1660986000000,2022-08-20 09:00:00,2022-08-20 09:00:00,2022-08-20 09:00:00,2022-08-20 09:00:00,2022-08-20 09:00:00,2022-08-20 09:00:00,0.33999999999999997,0.712,9.712890625000057,5.8671327354362575,88,1029.5819000000001
10,1660989600000,1660989600000,1660989600000,1660989600000,1660989600000,1660989600000,2022-08-20 10:00:00,2022-08-20 10:00:00,2022-08-20 10:00:00,2022-08-20 10:00:00,2022-08-20 10:00:00,2022-08-20 10:00:00,0.14800000000000002,0.86,9.885273437500018,6.145925499683273,87,1029.7542
11,1660993200000,1660993200000,1660993200000,1660993200000,1660993200000,1660993200000,2022-08-20 11:00:00,2022-08-20 11:00:00,2022-08-20 11:00:00,2022-08-20 11:00:00,2022-08-20 11:00:00,2022-08-20 11:00:00,0.01200000000000001,0.872,10.989843750000034,7.798702358531187,75,1030.4841999999999
12,1660996800000,1660996800000,1660996800000,1660996800000,1660996800000,1660996800000,2022-08-20 12:00:00,2022-08-20 12:00:00,2022-08-20 12:00:00,2022-08-20 12:00:00,2022-08-20 12:00:00,2022-08-20 12:00:00,0.03600000000000003,0.908,11.673164062500007,8.349630893651778,71,1030.9153
